age,tenure_years,num_policies,annual_premium,num_claims,claim_amount,policy_type,region,complaint_count,contacted_support,premium_increase_pct,satisfaction_score,years_since_last_claim,digital_engagement,churn
29,2,1,689,0,0,Auto,West,1,0,5.91,3,3,0,0
67,6,3,1255,2,576,Life,East,1,1,13.19,2,4,1,1
37,3,1,1946,3,3210,Home,West,0,0,22.48,4,7,1,0
35,16,1,2163,0,0,Life,West,1,0,19.21,3,3,1,0
33,8,3,2335,1,2242,Health,North,0,1,12.48,5,5,1,0
44,2,2,4728,2,4148,Life,North,1,0,20.36,5,2,1,0
36,17,1,4650,1,722,Auto,East,0,1,16.47,4,7,1,0
49,9,2,4560,2,5814,Health,South,1,0,8.27,4,2,1,0
55,12,3,4112,1,1109,Health,North,0,1,19.39,2,6,1,0
23,3,1,2189,1,641,Auto,West,0,0,6.13,2,6,1,0
53,11,3,1816,0,0,Life,East,1,0,20.82,5,2,1,0
44,1,1,3686,1,2080,Auto,East,0,0,0.09,4,2,0,0
43,13,3,4520,0,0,Health,South,1,0,16.46,2,9,1,0
46,15,3,4854,0,0,Home,East,2,1,12.03,4,9,1,0
43,5,1,1645,0,0,Health,North,3,0,9.09,5,7,1,1
43,17,2,4894,3,3540,Life,West,0,1,15.47,3,2,1,0
63,6,1,1060,1,580,Life,East,1,0,19.36,2,1,1,0
27,11,2,2412,1,1760,Home,East,0,1,28.96,5,4,0,0
36,18,2,2364,0,0,Auto,West,2,1,24.99,3,6,1,1
64,4,2,796,1,1273,Health,East,1,0,21.51,3,7,0,1
58,3,1,2909,2,1190,Auto,East,0,0,14.37,3,0,0,0
54,13,1,3136,0,0,Health,South,0,1,11.76,5,1,1,0
29,9,1,1961,2,4558,Home,North,0,0,0.98,5,6,0,0
65,6,1,4792,0,0,Home,East,1,0,10.77,3,8,0,0
65,12,2,2768,1,2959,Home,North,0,1,25.45,1,2,1,0
26,2,3,1494,0,0,Home,South,1,1,11.52,3,7,0,1
60,3,2,507,0,0,Home,North,1,1,13.85,2,9,0,1
25,3,2,3091,4,6656,Life,South,3,0,8.16,2,2,1,1
27,12,4,3015,0,0,Auto,North,2,0,8.22,3,3,1,0
66,15,2,4915,1,1577,Auto,North,0,1,1.86,1,1,0,0
53,9,4,1917,1,2445,Home,East,1,0,18.41,5,8,0,0
51,8,2,2816,0,0,Health,North,1,0,13.44,1,4,1,0
68,11,1,4432,2,3878,Life,East,2,1,18.18,3,4,0,1
56,16,1,1787,1,893,Health,East,0,0,16.41,2,3,1,0
61,4,2,3344,0,0,Auto,North,0,0,23.97,4,4,1,0
37,1,1,1618,1,1939,Life,East,0,1,22.53,1,0,1,1
34,7,1,1052,1,697,Health,North,0,0,23.14,3,9,1,0
63,2,2,1160,1,2295,Health,West,0,0,14.98,4,9,0,0
51,5,2,1215,0,0,Health,East,0,0,10.62,5,5,1,0
40,7,2,4085,0,0,Health,West,1,0,28.0,4,3,1,0
38,4,1,4261,2,1624,Life,West,0,1,1.63,1,3,1,0
40,5,1,3029,1,2946,Home,East,1,0,4.58,1,4,1,0
49,1,2,4470,0,0,Auto,South,0,0,12.59,4,0,1,0
47,1,4,3907,1,575,Life,South,2,0,18.42,2,3,1,1
58,15,2,1958,3,3015,Auto,West,2,1,0.25,3,9,0,1
47,19,4,3767,2,2240,Auto,West,1,1,21.58,5,2,0,0
44,10,3,1354,2,2148,Life,North,2,0,16.76,5,4,0,1
30,18,2,4037,3,4929,Health,West,0,0,14.54,5,9,0,0
33,3,1,2397,2,3238,Auto,East,1,1,12.7,5,4,1,0
22,11,2,772,1,1745,Health,South,0,0,15.58,4,7,1,0
22,15,2,4587,1,1410,Auto,South,0,0,4.85,4,0,1,0
68,11,2,1772,0,0,Health,South,0,0,3.26,3,2,1,0
55,17,2,4874,0,0,Life,East,0,0,8.69,5,4,0,0
53,17,2,4519,1,2316,Home,North,0,1,21.29,3,2,1,0
69,6,1,1315,0,0,Life,East,1,1,17.65,4,5,1,1
46,5,2,4871,1,1414,Auto,East,0,1,14.4,3,9,1,0
61,8,1,1422,2,4696,Life,South,2,1,17.15,2,2,0,1
66,2,3,1764,0,0,Health,East,1,1,16.78,4,5,1,0
22,16,1,4224,2,3016,Health,West,0,1,9.21,3,7,1,0
37,12,1,3287,2,2226,Life,East,0,0,2.92,4,3,1,0
60,6,2,3222,0,0,Health,South,1,0,26.9,4,7,0,1
26,1,2,4723,0,0,Life,South,0,1,18.0,3,6,0,1
43,4,2,3050,0,0,Health,East,0,0,20.93,2,3,0,0
50,17,1,3449,2,2182,Auto,West,1,0,13.92,3,2,1,0
24,13,2,2173,1,1270,Life,West,0,0,22.69,5,4,1,0
33,18,1,3592,0,0,Home,South,0,0,17.53,3,4,1,0
47,5,4,3338,1,895,Life,West,0,0,1.61,3,6,1,0
37,3,4,2166,0,0,Life,West,0,0,26.7,3,0,0,0
58,11,2,2695,0,0,Auto,North,0,0,9.17,5,8,1,0
43,13,1,1884,0,0,Health,North,0,1,4.14,4,1,1,0
50,4,2,4903,2,4804,Health,West,0,1,2.64,2,8,0,0
35,14,1,4454,0,0,Life,West,0,1,21.61,5,8,1,0
49,11,2,3399,2,4352,Auto,North,3,1,21.12,5,2,0,1
26,10,1,560,0,0,Auto,North,0,0,21.0,4,6,0,0
68,19,4,4447,2,3844,Life,North,1,0,27.47,3,2,1,0
51,18,1,2790,1,1797,Health,South,0,0,10.47,4,7,1,0
67,6,2,972,1,1098,Auto,South,0,1,16.83,3,7,1,0
26,15,2,1458,1,1367,Health,North,1,0,18.58,4,2,0,0
33,10,2,1032,0,0,Life,North,1,1,29.38,5,4,1,0
37,5,1,993,0,0,Health,North,0,0,9.37,5,6,1,0
47,5,4,581,1,1174,Life,South,0,1,28.69,3,0,1,0
47,10,2,3470,0,0,Health,South,0,0,4.46,5,2,1,0
69,5,2,511,0,0,Auto,West,1,1,22.92,2,0,1,1
42,3,1,1261,1,2232,Health,East,0,0,18.99,2,1,0,1
60,6,2,3685,0,0,Health,West,0,0,24.51,3,6,1,0
57,4,2,525,0,0,Home,East,1,0,0.86,4,6,1,0
54,18,1,2306,2,3178,Health,East,3,1,2.34,2,2,0,1
51,9,1,4657,2,1348,Health,East,1,0,2.09,3,5,1,0
58,17,3,4824,1,2810,Life,West,0,1,17.79,1,5,1,0
44,13,1,4159,0,0,Auto,South,1,1,18.09,4,1,1,0
31,15,1,2025,1,1457,Health,South,1,1,27.18,5,8,0,1
26,17,2,1260,0,0,Health,South,1,0,14.03,4,7,0,0
57,13,3,1094,0,0,Home,South,1,0,2.04,3,1,0,0
55,16,1,1555,1,1515,Home,West,2,0,6.29,5,3,1,0
52,4,2,2354,2,5998,Auto,North,0,1,0.24,4,8,0,0
31,5,1,3583,0,0,Health,East,0,1,23.3,5,3,0,0
40,5,1,4416,1,1771,Health,South,1,1,24.47,4,6,1,1
53,9,1,4175,0,0,Life,South,0,0,29.94,5,4,0,0
22,17,3,2548,0,0,Health,West,0,0,12.37,5,9,1,0
26,13,1,1958,1,2100,Auto,East,0,1,0.58,3,5,1,0
66,2,1,1719,0,0,Health,South,1,0,7.04,3,0,1,0
25,13,2,4728,0,0,Home,North,0,1,17.63,4,3,1,0
37,19,3,4681,0,0,Life,South,1,0,28.86,4,4,1,0
45,3,1,1999,2,2926,Health,East,0,0,3.11,4,5,1,0
37,10,2,2330,0,0,Auto,North,0,1,3.65,3,5,1,0
23,2,1,3895,0,0,Health,West,0,0,21.05,3,4,0,0
49,13,2,1703,1,2982,Home,North,0,0,20.02,4,2,1,0
53,19,2,4770,1,1293,Home,East,1,1,7.52,5,1,1,0
48,17,2,3310,1,2986,Life,East,2,1,24.39,4,6,1,1
41,14,1,3592,0,0,Life,North,1,1,3.86,2,0,1,0
45,12,1,3544,1,2523,Life,South,0,1,27.77,2,4,1,0
33,12,1,4014,0,0,Auto,East,0,0,6.03,1,3,1,0
56,11,1,2298,1,2301,Health,North,0,0,2.44,1,6,0,0
54,7,1,3075,0,0,Auto,East,0,0,10.19,2,1,0,0
54,4,3,644,0,0,Health,South,0,0,5.64,4,7,1,0
64,19,4,4426,1,2337,Auto,South,1,0,15.81,5,8,0,0
58,1,4,1877,1,1961,Auto,North,0,1,20.61,3,9,0,1
33,3,3,3646,0,0,Health,West,0,0,14.73,4,0,1,0
24,13,2,2325,0,0,Health,West,2,1,19.82,4,4,0,1
22,15,2,1293,1,1848,Life,South,0,0,10.95,5,3,1,0
54,2,1,2101,0,0,Health,West,2,0,0.84,5,4,0,0
61,11,2,4914,0,0,Health,South,3,0,29.22,1,8,1,1
31,4,2,1610,1,2177,Health,West,0,1,24.58,2,2,1,1
64,19,2,4553,1,2613,Home,South,0,0,2.2,1,0,0,0
65,17,3,4437,0,0,Home,East,1,0,13.48,4,2,1,0
50,3,1,4463,1,1522,Auto,North,0,1,19.05,4,3,1,0
34,18,1,1282,3,6387,Health,North,0,0,5.72,3,1,1,0
33,8,4,1616,1,1382,Auto,West,1,0,17.34,5,0,1,0
52,19,1,2250,2,5468,Health,North,0,1,16.01,3,0,1,0
67,5,2,3076,0,0,Life,West,0,0,6.25,5,7,0,0
23,7,4,4527,0,0,Health,South,1,0,4.24,1,3,1,0
56,8,2,3836,1,1960,Life,East,1,1,22.77,2,1,0,1
44,5,2,4887,0,0,Health,North,0,0,9.68,3,9,1,0
38,17,1,1987,0,0,Health,East,0,0,7.32,1,2,0,0
47,5,1,4375,1,1129,Home,North,0,0,22.14,4,7,1,0
29,4,3,4131,1,2648,Health,South,0,0,22.08,1,5,0,1
50,19,2,4692,2,3860,Home,North,1,0,8.29,4,7,0,0
47,2,2,4458,1,2817,Life,North,1,0,26.18,1,9,1,1
31,11,1,3897,0,0,Life,South,1,0,20.65,3,4,1,0
47,13,1,573,1,591,Health,West,0,0,10.37,5,2,1,0
55,15,4,1859,0,0,Auto,West,0,1,12.82,5,5,1,0
62,12,1,1591,0,0,Life,South,0,1,21.8,3,9,0,0
28,11,2,2441,0,0,Life,West,0,1,6.35,5,7,1,0
25,7,1,3648,1,1893,Health,North,0,0,14.06,4,4,0,0
66,5,2,4803,2,5760,Health,East,0,0,19.61,3,4,0,0
32,17,4,1744,0,0,Auto,South,0,0,16.18,5,2,1,0
50,9,2,1785,1,722,Health,North,1,1,18.25,3,2,1,0
57,14,1,3536,0,0,Life,South,1,0,16.39,3,7,0,0
46,12,2,1270,0,0,Home,East,0,0,5.98,4,0,0,0
42,6,3,2343,2,4274,Life,North,0,0,12.31,3,3,1,0
57,17,2,573,0,0,Auto,North,2,0,15.96,2,8,1,0
31,19,3,2160,2,3544,Auto,East,3,0,23.4,1,5,1,1
58,19,2,4849,1,2329,Home,East,0,0,19.62,4,5,1,0
30,16,3,1319,1,723,Health,West,1,0,12.8,4,9,0,0
45,12,2,4318,0,0,Auto,North,1,1,29.23,3,6,1,1
56,12,1,831,1,2742,Health,East,0,0,3.23,5,6,0,0
56,6,1,1921,1,1778,Auto,East,0,1,6.2,3,5,0,0
69,4,1,4155,2,2548,Health,North,0,0,10.24,4,8,0,0
57,6,4,2191,1,1484,Health,West,0,0,6.86,5,7,1,0
39,11,3,4908,1,1822,Home,South,0,0,18.76,5,7,0,0
60,1,2,727,1,2815,Life,West,2,0,1.19,3,1,1,0
53,15,1,3381,0,0,Home,East,1,0,5.32,4,6,1,0
45,11,1,3365,0,0,Home,South,0,0,8.8,3,0,1,0
44,19,3,3075,0,0,Health,South,0,0,20.5,4,9,0,0
53,18,2,964,2,3554,Health,West,1,0,26.28,3,7,0,0
58,17,1,777,0,0,Health,South,0,0,23.95,3,2,1,0
33,19,2,4614,1,1808,Home,East,0,0,5.46,2,8,0,0
34,14,1,565,2,2834,Life,North,2,0,16.96,1,4,1,1
44,18,1,4762,0,0,Health,North,0,0,0.9,4,6,1,0
46,19,2,902,0,0,Auto,North,0,1,9.32,5,6,1,0
56,15,1,4483,1,929,Home,West,0,0,24.18,1,8,0,0
62,15,4,3978,1,583,Auto,North,0,0,13.7,2,1,1,0
51,4,1,3944,2,3976,Auto,North,0,1,4.5,3,3,1,0
38,7,1,4919,1,2012,Life,North,0,1,13.16,4,7,1,0
41,13,1,3539,1,2524,Health,South,1,1,5.94,2,4,0,0
69,3,3,1937,0,0,Life,South,0,1,11.8,1,4,1,0
46,16,2,928,2,2704,Home,South,0,1,14.64,3,2,1,0
43,9,2,3182,1,2945,Auto,East,0,1,10.49,5,4,0,0
34,8,1,3277,0,0,Auto,East,0,0,28.11,1,6,1,0
40,13,1,3878,0,0,Auto,East,2,1,16.88,3,3,0,1
57,17,2,892,0,0,Health,North,0,1,25.29,4,7,1,0
33,17,3,841,0,0,Life,South,1,1,22.82,2,5,1,0
62,17,3,632,0,0,Health,East,0,1,19.83,2,5,0,0
40,1,1,764,0,0,Life,West,0,0,14.91,3,5,0,0
33,8,2,4688,0,0,Auto,South,1,0,0.07,5,3,1,0
30,19,4,2185,1,2177,Life,North,0,1,18.4,3,2,0,0
28,6,1,1934,1,2264,Auto,South,1,0,10.68,3,9,1,0
49,3,3,2160,1,1808,Auto,North,0,1,3.53,3,5,0,0
35,5,1,4317,2,422,Health,East,0,0,13.34,5,5,0,0
52,13,4,2854,0,0,Life,North,1,1,22.07,1,1,1,0
40,15,3,765,0,0,Health,North,1,1,28.85,4,9,1,0
68,14,4,1636,1,1939,Health,West,1,0,11.22,5,8,1,0
37,16,2,1890,1,1725,Auto,South,1,0,16.28,5,3,1,0
26,18,1,1612,2,538,Life,North,2,0,25.54,4,3,1,0
56,11,4,2734,1,2355,Auto,West,0,1,10.02,3,9,1,0
33,3,1,3366,2,4896,Auto,West,0,1,4.27,3,7,0,0
46,10,1,3568,1,1772,Life,West,0,0,8.46,3,2,0,0
42,10,2,2679,1,828,Auto,East,0,0,26.97,4,9,0,0
57,16,3,1134,0,0,Auto,East,0,1,4.78,4,6,1,0
44,12,4,4131,1,1105,Auto,North,1,1,9.88,5,6,1,0
37,2,1,1899,1,2550,Life,South,0,0,13.94,3,1,1,0
60,9,3,3239,0,0,Life,East,1,0,25.41,4,2,1,0
66,3,2,3670,1,2802,Life,East,0,1,28.13,5,3,0,1
63,15,1,2365,1,2372,Health,North,0,0,12.77,5,1,1,0
60,3,1,2455,0,0,Auto,North,2,1,27.96,4,8,0,1
35,19,1,2718,1,1058,Auto,East,0,0,4.84,4,9,1,0
52,18,1,1889,0,0,Home,North,0,1,4.71,3,5,1,0
26,8,4,3630,0,0,Life,West,0,0,28.48,2,0,1,0
56,17,2,4776,2,4758,Life,North,1,1,15.29,2,0,1,0
44,8,2,4614,0,0,Auto,West,0,0,5.58,3,7,1,0
50,7,4,1749,1,680,Life,East,0,0,14.64,2,5,1,0
64,7,1,3666,1,1180,Health,South,1,0,23.5,4,9,0,1
32,3,3,1745,0,0,Health,West,0,1,24.81,4,6,0,0
39,1,2,553,1,2578,Life,South,1,0,25.92,3,5,1,1
68,4,3,3410,1,1800,Auto,East,0,0,17.09,1,1,1,0
33,5,1,2896,0,0,Health,North,0,0,26.01,1,2,1,1
30,1,4,942,1,1154,Auto,West,1,0,15.3,2,7,0,1
31,15,1,4111,1,1860,Auto,West,1,0,18.21,2,3,1,0
65,5,1,4877,1,967,Life,East,1,0,22.76,5,7,0,0
38,13,3,2907,0,0,Home,East,1,1,12.76,3,2,0,0
59,8,1,1322,2,2066,Health,North,0,1,2.21,3,1,1,0
28,8,2,4202,1,2390,Home,South,0,1,10.5,1,6,0,0
67,5,2,3439,0,0,Life,West,0,1,18.72,4,0,0,0
34,9,2,1531,0,0,Auto,South,2,0,5.77,4,2,1,0
61,1,1,2516,0,0,Health,West,2,1,4.45,2,1,0,1
63,4,1,1062,0,0,Auto,West,3,0,8.79,5,4,1,1
30,3,1,3038,1,289,Auto,North,0,0,0.96,5,1,1,0
48,2,2,840,1,1220,Health,West,0,0,22.3,2,9,1,0
23,8,1,4275,0,0,Home,West,1,0,7.76,3,4,1,0
26,9,1,2796,1,2170,Health,East,1,0,3.73,3,2,1,0
50,2,1,734,1,1258,Life,North,1,0,20.97,3,8,1,1
58,14,1,1616,0,0,Auto,East,1,1,25.29,5,9,1,0
59,14,2,2408,0,0,Auto,West,0,0,0.6,2,8,1,0
40,4,3,1917,1,323,Health,North,0,0,7.01,3,7,1,0
29,6,1,1791,2,4608,Health,West,0,0,28.36,3,4,1,0
69,11,2,3988,2,3358,Home,North,0,0,11.56,3,9,1,0
66,3,2,4154,0,0,Auto,South,0,0,28.16,5,6,1,0
22,8,2,1028,0,0,Life,South,0,0,8.23,2,1,1,0
43,3,2,3824,0,0,Life,North,0,0,6.54,2,2,1,0
38,14,2,2480,0,0,Home,West,1,1,6.42,4,1,1,0
28,13,2,3439,2,4108,Auto,North,2,1,2.56,2,9,1,0
46,13,1,1829,2,3132,Home,West,1,0,26.89,1,0,0,1
66,2,2,1733,0,0,Health,South,0,0,29.4,3,2,1,0
25,13,2,2253,2,3546,Auto,West,0,1,28.64,2,3,0,1
57,19,1,3300,0,0,Auto,East,0,0,25.56,3,8,1,0
27,6,1,3433,0,0,Life,South,3,0,25.41,3,1,1,1
52,16,4,3259,0,0,Health,East,0,0,19.83,1,8,1,0
40,2,2,3275,1,831,Auto,South,0,1,24.79,4,0,1,0
65,8,2,3987,0,0,Health,South,1,0,6.25,1,8,1,0
60,17,4,4350,2,2864,Auto,East,0,1,11.64,5,5,0,0
48,2,2,3027,1,2464,Auto,North,2,0,19.23,3,7,1,1
31,10,2,1390,1,2247,Home,West,0,0,26.24,4,2,0,0
47,16,3,2565,0,0,Auto,South,0,0,19.81,5,7,0,0
40,6,3,1688,2,5970,Health,West,0,1,25.17,3,8,1,0
60,2,2,4797,1,929,Health,South,2,1,14.22,4,6,1,1
24,2,2,1240,1,1475,Auto,West,2,0,21.52,5,3,1,1
66,13,1,1869,1,2250,Health,South,0,0,29.4,2,5,1,0
34,15,4,1889,1,1225,Life,North,0,0,4.6,5,5,0,0
49,2,2,2500,2,4794,Health,South,0,0,27.81,1,1,1,1
41,7,1,1971,1,2251,Life,North,3,0,15.67,2,1,0,1
49,3,3,2036,2,3440,Auto,South,1,0,19.3,4,4,0,1
29,8,2,818,1,2094,Health,West,1,1,26.34,2,0,1,1
62,14,1,2764,2,1334,Life,East,0,0,12.29,4,4,0,0
60,7,2,2394,1,2317,Home,South,0,0,12.56,5,9,0,0
22,7,2,4211,0,0,Auto,South,0,0,15.82,5,2,0,0
24,1,3,3322,1,507,Auto,North,1,0,0.57,3,2,1,0
34,17,1,1775,1,2245,Auto,West,2,0,14.9,5,7,1,0
49,9,3,3583,0,0,Auto,North,0,1,8.73,3,2,1,0
46,13,2,900,1,2539,Auto,West,0,0,27.84,2,2,1,0
54,19,1,1223,1,1082,Health,West,0,1,2.63,3,0,1,0
59,19,4,2829,0,0,Home,North,0,0,13.78,4,7,0,0
27,17,2,1635,0,0,Life,East,2,0,28.42,3,9,0,1
65,10,1,3270,0,0,Home,West,0,0,27.03,4,9,1,0
66,10,2,767,1,204,Health,East,1,1,21.04,3,5,1,1
53,4,3,1069,2,5080,Health,North,1,0,17.68,3,7,1,0
66,8,1,3056,1,559,Life,East,1,0,8.42,5,2,0,0
68,18,1,2473,0,0,Health,West,2,0,11.01,3,5,0,0
42,14,1,1045,2,3318,Auto,North,1,1,2.7,3,1,0,0
37,18,1,3322,1,762,Home,East,2,0,23.58,4,2,1,1
42,14,3,4960,0,0,Home,North,0,0,9.72,3,3,0,0
32,15,2,770,2,5900,Home,North,1,0,20.03,5,8,1,0
58,4,1,1238,1,833,Health,East,1,0,10.73,1,3,0,1
57,13,1,1757,0,0,Home,West,0,0,13.93,3,6,1,0
56,8,1,558,2,2820,Health,West,1,0,16.65,1,7,0,1
40,18,4,4681,0,0,Home,West,1,1,24.06,1,4,0,1
41,12,1,889,0,0,Life,West,1,0,6.33,4,1,0,0
39,14,4,1218,1,2968,Health,South,0,1,11.96,3,7,0,0
68,2,2,4744,3,2379,Home,North,1,1,3.9,5,4,0,0
62,18,1,620,1,1624,Home,North,0,0,2.27,3,4,1,0
35,2,3,3152,0,0,Auto,South,1,0,18.14,3,6,0,1
36,11,2,2803,0,0,Auto,North,0,1,5.67,4,5,0,0
52,9,2,3411,0,0,Life,North,0,1,1.79,4,2,1,0
22,12,4,1299,1,2092,Auto,East,0,1,26.91,4,6,1,0
24,17,1,3880,0,0,Auto,South,0,1,16.03,4,0,0,0
37,15,1,2606,1,242,Life,North,0,0,4.04,2,3,1,0
44,17,2,1609,1,378,Life,North,0,1,1.6,4,3,1,0
32,18,1,1750,0,0,Life,South,1,0,3.6,3,5,0,0
33,6,1,3140,1,2782,Auto,South,1,0,14.14,3,5,1,0
31,17,1,2149,1,806,Life,East,0,0,20.05,5,9,0,0
53,18,1,1845,0,0,Health,East,0,1,19.24,3,7,0,0
37,8,3,3456,0,0,Health,West,0,0,4.33,4,0,1,0
29,9,1,2946,0,0,Health,West,1,1,19.0,3,6,0,1
59,6,2,3864,0,0,Auto,East,0,1,12.15,1,3,0,0
33,5,2,984,1,1838,Auto,North,0,1,13.94,3,5,1,0
45,12,2,1302,0,0,Health,South,0,1,24.04,4,9,1,0
49,11,1,2215,0,0,Health,East,0,0,9.97,3,8,1,0
29,1,3,2415,4,5660,Health,West,0,1,4.41,3,2,1,0
49,11,1,3983,0,0,Home,South,0,1,26.2,5,7,1,0
57,19,3,2257,1,2426,Health,West,1,1,6.36,1,2,1,0
47,9,3,2309,1,815,Life,North,1,1,8.82,3,5,0,0
29,2,2,3507,2,5848,Auto,North,0,0,21.2,5,1,1,0
49,12,2,3725,1,2881,Health,West,1,0,20.51,5,8,0,0
49,4,2,3995,0,0,Auto,South,0,0,24.01,3,1,0,0
58,4,1,2820,0,0,Health,West,2,1,5.52,5,4,1,1
62,18,3,2170,0,0,Auto,South,0,0,10.57,2,5,1,0
57,15,3,1651,0,0,Life,East,1,1,3.78,2,3,0,0
48,19,1,2723,1,2477,Health,West,1,0,16.23,5,6,0,0
38,13,2,3167,1,1673,Health,West,0,1,8.78,5,6,1,0
30,19,4,710,0,0,Auto,South,2,1,20.67,2,6,1,0
54,17,4,2994,4,4348,Home,East,0,0,0.01,1,6,1,0
41,6,2,4762,0,0,Health,South,1,1,1.79,1,9,1,0
34,16,2,3007,3,6621,Auto,South,0,1,12.98,3,9,1,0
49,12,1,3463,1,661,Auto,West,0,0,28.75,4,8,1,0
69,19,4,3928,2,5224,Home,West,0,0,26.73,3,1,1,0
50,5,1,3875,0,0,Auto,South,0,0,29.82,3,4,1,0
34,17,2,4455,0,0,Life,North,0,1,12.5,4,9,1,0
67,1,1,4205,0,0,Auto,North,0,0,1.4,5,8,1,0
56,10,1,3905,0,0,Health,North,1,0,9.18,1,1,1,0
27,15,2,4538,1,1804,Life,West,0,0,20.27,4,2,0,0
39,11,4,1552,0,0,Life,West,0,0,4.05,5,6,1,0
26,13,1,1213,0,0,Home,East,1,1,9.0,2,8,1,0
68,5,2,3388,1,1085,Home,West,0,1,1.68,5,2,1,0
46,1,1,1187,0,0,Auto,East,0,0,14.25,4,9,0,0
23,12,1,829,0,0,Home,West,0,1,6.27,1,7,0,0
31,11,2,2246,0,0,Auto,North,0,1,2.74,2,7,1,0
51,17,2,1707,1,2155,Life,North,0,0,12.34,4,3,1,0
66,4,1,2642,1,786,Life,South,2,0,10.54,3,5,1,1
26,15,1,1284,0,0,Life,South,0,1,16.13,3,7,0,0
54,9,1,3196,1,653,Life,East,0,1,22.47,2,8,1,0
22,19,1,4320,1,1025,Life,East,0,1,3.38,4,1,0,0
39,19,4,4218,1,310,Health,South,0,0,23.73,3,0,1,0
53,12,4,3193,1,1107,Auto,East,0,1,0.79,3,4,1,0
68,5,1,1125,0,0,Home,West,0,0,13.29,3,9,1,0
32,10,2,4734,1,1767,Auto,North,0,1,17.62,4,2,1,0
42,17,4,4208,1,1432,Home,South,0,1,28.71,1,5,0,0
47,5,1,1261,0,0,Health,South,1,1,17.22,2,0,1,1
46,16,3,4479,1,754,Home,West,0,1,4.76,2,3,1,0
43,7,4,4029,0,0,Health,East,0,0,15.53,2,5,0,0
48,9,1,2055,0,0,Life,South,1,1,11.87,2,1,1,0
34,3,1,4133,3,7419,Home,South,0,0,14.38,4,7,1,0
54,15,4,1175,2,5468,Health,West,1,1,5.91,4,3,0,0
55,16,2,4687,1,2426,Health,North,1,0,15.02,4,1,1,0
62,18,1,536,0,0,Health,South,0,1,4.5,3,0,0,0
56,14,1,4336,0,0,Auto,South,0,0,22.32,1,7,1,0
22,3,2,2287,0,0,Home,West,3,1,17.82,5,9,1,1
42,12,2,3227,1,2910,Life,South,1,0,2.36,2,0,0,0
69,9,2,4380,0,0,Home,South,2,0,26.69,4,6,1,1
27,7,4,2394,0,0,Life,North,0,1,18.49,5,6,1,0
49,9,1,636,1,2282,Health,South,0,1,9.48,4,5,1,0
38,13,2,3576,1,2654,Life,West,2,0,1.37,2,7,0,0
26,18,2,4383,0,0,Auto,North,0,0,18.97,3,9,1,0
52,5,2,1161,0,0,Life,North,3,0,11.2,1,0,1,1
26,13,1,2310,1,1015,Health,North,0,1,27.23,4,0,0,0
59,4,4,914,0,0,Life,East,2,1,1.05,4,0,0,1
24,2,3,842,1,2974,Life,West,0,1,1.17,4,5,1,0
44,16,2,3229,0,0,Auto,East,0,0,28.48,1,6,1,0
58,9,2,3950,1,1324,Life,South,2,0,28.95,5,9,1,1
58,9,1,4165,1,768,Life,North,0,1,0.83,4,8,1,0
31,6,2,4237,2,2876,Life,East,0,0,21.48,2,9,0,1
31,11,2,4397,0,0,Health,South,0,0,6.64,3,4,1,0
40,1,2,4741,0,0,Auto,East,1,0,21.04,4,0,1,0
38,4,4,4918,0,0,Life,North,3,1,26.06,3,8,1,1
42,13,2,2669,2,1136,Life,South,0,1,3.02,2,4,0,0
35,13,1,2378,0,0,Health,North,0,0,7.16,1,5,1,0
30,13,3,4470,0,0,Health,North,0,1,0.72,4,8,1,0
67,2,1,3117,0,0,Home,East,1,0,1.31,2,1,1,0
22,9,1,2015,0,0,Auto,West,0,0,0.89,2,2,1,0
66,8,1,1074,2,1926,Auto,South,0,0,24.02,5,6,0,0
34,7,2,4942,0,0,Health,South,0,0,8.95,4,2,1,0
25,4,3,3367,0,0,Auto,West,0,0,14.8,4,1,1,0
22,18,2,4044,1,2347,Auto,South,2,1,23.64,3,6,1,1
61,3,3,4977,2,1056,Health,East,0,0,14.85,4,7,0,0
53,6,2,571,1,905,Auto,South,0,0,12.88,4,8,0,0
55,12,1,3068,1,420,Auto,East,0,0,0.35,5,1,0,0
49,12,3,3937,0,0,Health,South,1,0,17.04,2,1,1,0
52,8,1,3480,1,2061,Health,East,0,0,3.74,2,6,0,0
29,1,1,1617,0,0,Auto,West,0,0,22.94,1,3,1,0
60,4,2,2886,0,0,Life,South,0,1,7.73,4,4,1,0
47,11,1,4008,0,0,Auto,East,1,1,20.23,3,0,0,1
55,3,1,1859,0,0,Auto,North,0,1,19.39,2,5,0,1
24,13,2,2015,0,0,Auto,North,0,0,18.5,3,9,1,0
33,17,2,539,0,0,Health,North,0,1,8.01,2,7,0,0
22,10,2,1882,0,0,Life,South,0,0,8.01,3,0,1,0
65,12,4,2530,1,1633,Life,East,3,0,25.89,5,1,0,1
26,15,2,3121,0,0,Auto,North,0,0,0.38,4,6,1,0
51,10,3,2400,2,1176,Home,South,2,0,5.45,1,1,0,1
51,14,1,2717,0,0,Auto,East,0,1,18.31,3,8,1,0
38,13,2,1783,1,2694,Life,North,0,0,24.51,1,5,1,0
69,5,3,1083,2,2582,Home,North,0,0,10.75,4,4,1,0
68,6,2,958,2,5806,Home,South,2,0,19.6,3,6,0,1
44,2,2,2765,2,4398,Health,East,0,1,16.71,5,9,1,0
